Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C22, C3, C8",1206,5,10u,C13585
"C10, C11, C12, C14, C15, C16, C17, C18, C19, C20, C21, C9",0402,12,100n,C307331
C13,1206,1,4.7u,C29823
"C4, C5, C6, C7",C_Elec_6.3x7.7,4,470u,C46550459
D1,D_SMB,1,P6SMB6.8CA,C78395
D2,0805,1,3V3_ON,C2296
D4,0805,1,STATUS,C2297
H1,SMTSO20,1,XP+,C2928171
"H12, H13, H14, H15",SMTSO30,4,M3,C2915635
H2,SMTSO20,1,XN+,C2928171
H3,SMTSO20,1,XP-,C2928171
H4,SMTSO20,1,XN-,C2928171
H5,SMTSO20,1,YP+,C2928171
H6,SMTSO20,1,YN+,C2928171
H7,SMTSO20,1,YP-,C2928171
H8,SMTSO20,1,YN-,C2928171
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
"R1, R7",0402,2,3.3k,C25890
"R2, R3",0603,2,5.1k,C23186
"R4, R5, R6",0402,3,2.2k,C25879
U1,SOT-23-3,1,XC6206P332MR-G,C5446
U2,SOT-23-5,1,TPS2069CDBV,C181752
"U3, U4, U7, U8",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,4,DRV8837,C39159
U6,SOT-23-6,1,TMAG5273,C3716049
U9,LQFP-32_7x7mm_P0.8mm,1,STM32G030K6T6,C529331
