Designator,Mid X,Mid Y,Rotation,Layer
C1,-12.66,30.63,180.0,top
C10,15.66,-1.24,90.0,top
C11,-15.58,-1.28,270.0,top
C12,-15.58,1.16,270.0,top
C13,21.275,8.175,270.0,top
C14,23.325,10.8,90.0,top
C15,2.39,-0.61,45.0,top
C16,2.61,-2.33,225.0,top
C17,1.3075,19.6175,0.0,top
C18,-1.2425,19.6175,0.0,top
C19,1.37,-15.8675,0.0,top
C2,10.46,31.59,90.0,top
C20,-1.38,-15.8675,0.0,top
C21,23.4,7.18,90.0,top
C22,13.260744,31.585,90.0,top
C3,-4.71,27.61,270.0,top
C4,-30.16,16.91,0.0,top
C5,-6.4,17.55,90.0,top
C6,-27.063413,25.333413,315.0,top
C7,-19.28,30.74,270.0,top
C8,5.82,32.7,0.0,top
C9,15.66,1.31,90.0,top
D1,-9.4425,34.76,180.0,top
D2,38.42,5.65,90.0,top
D4,38.54,-5.65,270.0,top
H1,7.42767,-0.07585,45.0,top
H12,17.678,-17.678,0.0,top
H13,17.678,17.678,0.0,top
H14,-17.678,17.678,0.0,top
H15,-17.678,-17.678,0.0,top
H2,-7.42767,0.07585,45.0,top
H3,27.927701,-0.075834,45.0,top
H4,-27.927701,0.075834,45.0,top
H5,0.07585,7.42767,45.0,top
H6,-0.07585,-7.42767,45.0,top
H7,0.075834,27.927701,45.0,top
H8,-0.075834,-27.927701,45.0,top
J1,0.0,39.534256,180.0,top
R1,38.42,7.95,0.0,top
R2,6.32,40.084256,270.0,top
R3,-6.43,40.084256,270.0,top
R4,2.55,1.525,135.0,top
R5,-1.95,2.1,225.0,top
R6,0.925,-2.125,45.0,top
R7,38.54,-7.91,0.0,top
U1,6.41,29.3875,0.0,top
U2,-7.98,30.2475,0.0,top
U3,17.66,0.01,90.0,top
U4,-17.68,0.02,270.0,top
U6,-0.127279,0.367695,225.0,top
U7,0.0,17.7,0.0,top
U8,0.02,-17.7675,0.0,top
U9,29.2,9.9,270.0,top
