Designator,Mid X,Mid Y,Rotation,Layer
C1,21.6,4.55762,90.0,top
C10,2.5,41.40762,90.0,top
C11,6.85,53.48262,90.0,top
C12,3.55,66.28262,90.0,top
C6,3.8,14.00762,90.0,top
C7,9.15,25.50762,90.0,top
D1,1.5,67.23262,90.0,top
D10,9.4,16.18262,90.0,top
D14,8.825,34.62012,90.0,top
D15,24.225,5.42012,90.0,top
D17,2.05,58.55762,90.0,top
D18,17.575,16.49512,90.0,top
D2,4.2,20.22262,90.0,top
D3,12.825,25.49512,90.0,top
D4,5.334,44.20962,90.0,top
D5,17.9,3.08262,0.0,top
D6,3.15,36.18262,90.0,top
D7,2.3,47.75762,90.0,top
R1,1.5,70.30762,270.0,top
R10,4.15,24.09762,270.0,top
R12,3.15,32.20762,90.0,top
R2,2.3,51.08262,270.0,top
R3,12.825,28.56862,270.0,top
R4,9.35,19.49512,270.0,top
R5,23.325,8.44512,270.0,top
R6,2.025,61.65762,0.0,top
R7,8.825,37.649921,270.0,top
R8,17.575,20.44512,270.0,top
R9,5.3,48.08262,270.0,top
